"salesorderkey","orderdate","customerkey","customerfirstname","customerlastname","customeraddress","customercity","cusotmerstate","customerzipcode","customercountry","socialmedia","totalsale","currencykey"
"1379635200000-53734464","2013-09-20T15:23:00Z","1256256000000-185","Yolanda","Woods","375 Vel Avenue","Hattiesburg","MS","52336","USA","mberfoe","5940.69","1"
"1226016000000-59043599","2008-11-07T03:07:00Z","1138924800000-177","Kevyn","Grimes","4121 Imperdiet St.","West Valley City","UT","27641","USA","AyazlElif","8583.27","1"
"1180224000000-75281809","2007-05-27T06:26:00Z","1162425600000-309","Cedric","Kim","628-1688 Adipiscing St.","Cleveland","OH","21178","USA","arna_dal","4824.64","1"
"1329868800000-24300226","2012-02-22T20:55:00Z","1256083200000-55","Ryder","Simpson","P.O. Box 210 1857 Sed Road","Laramie","WY","26661","USA","its_tiza","5384.14","1"
"1403568000000-94213850","2014-06-24T01:51:00Z","1289174400000-132","Ulysses","Conley","906-2051 Ac Avenue","West Valley City","UT","70930","USA","JoshuaScott72_","5379.2","1"
"1129939200000-91717343","2005-10-22T15:36:00Z","1207267200000-236","Anastasia","Nichols","Ap #546-9668 Sapien Road","Gresham","OR","97136","USA","Worth_The_CHASE","5026.44","1"
"1336694400000-200982032","2012-05-11T22:23:00Z","1194048000000-539","Wesley","Rocha","4496 Eleifend St.","Juneau","AK","99802","USA","sessizSEM","3155.03","1"
"1260662400000-175254","2009-12-13T23:45:00Z","1123200000000-8","Olympia","Scott","9654 Arcu. Street","College","AK","99792","USA","GulAlf","8644.05","1"
"1129939200000-249639100","2005-10-22T08:10:00Z","1145232000000-49","Jelani","Levine","397-9987 Ut Av.","Lowell","MA","25240","USA","okurduyguu","6613.93","1"
"1328140800000-210845132","2012-02-02T22:11:00Z","1175212800000-192","Melissa","Gould","Ap #796-4522 At Rd.","Auburn","ME","15365","USA","eelin_eriksson","2850.58","1"
"1405209600000-85413403","2014-07-13T15:16:00Z","1233705600000-345","Vincent","Hoover","P.O. Box 401 897 A Avenue","Saint Louis","MO","12749","USA","kerstinfrz","5759.94","1"
"1268438400000-14791724","2010-03-13T23:08:00Z","1120521600000-9","Simon","Bryan","1208 Pellentesque Avenue","Davenport","IA","57605","USA","AxiellEdu","6934.72","1"
"1262649600000-78053798","2010-01-05T22:48:00Z","1142899200000-575","Maris","Figueroa","8302 Facilisis Street","Chattanooga","TN","39179","USA","jadeszain","6685.7","1"
"1332288000000-101370462","2012-03-21T10:56:00Z","1277856000000-96","Bertha","Parsons","Ap #368-8221 Libero. Rd.","Los Angeles","CA","94082","USA","GnarkillHewra","7428.41","1"
"1353974400000-112698378","2012-11-27T09:00:00Z","1180483200000-322","Nigel","Diaz","Ap #264-2353 Nam St.","Kaneohe","HI","34021","USA","Propagerar","6925.94","1"
"1107388800000-235403491","2005-02-03T10:24:00Z","1234396800000-200","Kirby","Daniel","P.O. Box 615 8921 Malesuada Av.","Hartford","CT","44004","USA","MrCheesesCousin","8498.43","1"
"1409875200000-248492993","2014-09-05T16:05:00Z","1274659200000-108","Carl","Cohen","Ap #722-6404 Dictum St.","Duluth","MN","88675","USA","aggressioner","4294.72","1"
"1138320000000-170103110","2006-01-27T22:35:00Z","1175904000000-418","Hermione","Morgan","P.O. Box 947 2470 Etiam Av.","Boston","MA","13384","USA","niifak","6052.94","1"
"1137801600000-126625237","2006-01-21T02:40:00Z","1127952000000-699","Natalie","Ellison","464-2284 Velit St.","Columbia","MD","82474","USA","RichardBlomberg","5664.72","1"
"1268438400000-139531837","2010-03-13T23:47:00Z","1148860800000-543","Chava","Cardenas","P.O. Box 183 1611 Risus Rd.","Fresno","CA","96978","USA","INFECTEDsammy0","6039.49","1"
"1377129600000-89326078","2013-08-22T15:47:00Z","1357344000000-372","Lars","Dennis","318-8444 Eros St.","Springdale","AR","71600","USA","GabiBjornstrand","5514.09","1"
"1160265600000-105660451","2006-10-08T17:14:00Z","1111363200000-114","Francesca","Dawson","Ap #204-4038 Dignissim. St.","Gresham","OR","83008","USA","Yioxfe__Hiatte","6021.15","1"
"1306454400000-176612942","2011-05-27T16:55:00Z","1127865600000-500","Driscoll","Vazquez","Ap #188-6952 Interdum Ave","Athens","GA","98061","USA","Guodji__Ciecwa","6963.75","1"
"1271635200000-150796445","2010-04-19T02:20:00Z","1251763200000-398","Teagan","Cooke","85 Cinder Bluff Rd","Clearwater","FL","33575","USA","__Cravens__","5873.53","1"
"1137801600000-133410727","2006-01-21T23:55:00Z","1185753600000-368","Lana","Morin","608 Magnis St.","Tulsa","OK","63413","USA","AmadisNeville","8106.65","1"
"1393891200000-53827481","2014-03-04T03:09:00Z","1341360000000-204","Zephania","Russo","Ap #177-7764 Nullam Av.","Memphis","TN","69400","USA","alva_mattsson","7074.27","1"
"1260662400000-9306535","2009-12-13T10:19:00Z","1147478400000-36","Ava","Allen","690-902 Odio Rd.","Flint","MI","89417","USA","wisinyyandel","5881.5","1"
"1157414400000-146896891","2006-09-05T07:22:00Z","1253923200000-118","Bryar","Ingram","163-581 Sem. Street","College","AK","99553","USA","esseeconsulting","7242.79","1"
"1294444800000-248814252","2011-01-08T15:52:00Z","1225670400000-446","Zeph","Wiggins","9824 Commodo Rd.","San Jose","CA","92973","USA","Pettson95","4169.36","1"
"1262649600000-39208992","2010-01-05T05:46:00Z","1110153600000-266","Reed","Justice","7263 Parturient Rd.","Little Rock","AR","71193","USA","Maowmu__Liamku","8094.47","1"
"1336694400000-200065231","2012-05-11T18:46:00Z","1328659200000-535","Lillian","Cruz","58 Foggy Apple Hwy","Utica","NY","13504","USA","Geeksplace","5970.8","1"
"1147996800000-41861962","2006-05-19T03:16:00Z","1246060800000-361","Flavia","Chaney","1710 Aliquam Rd.","Allentown","PA","94079","USA","jordangent_bae","6103.87","1"
"1260662400000-91138245","2009-12-13T12:52:00Z","1153267200000-265","Maisey","Chuilon","86 Easy Butterfly Rd","Binghamton","NY","13902","USA","edyurick","7973.54","1"
"1391990400000-67316394","2014-02-10T17:26:00Z","1205884800000-298","Darius","Sexton","Ap #602-3029 Ultrices. Road","Nampa","ID","12636","USA","emreozden10","5068.27","1"
"1276041600000-111876227","2010-06-09T18:02:00Z","1325548800000-202","Adrienne","Barr","P.O. Box 674 9473 Nibh. Rd.","Laramie","WY","73919","USA","olumusimdi","9442.4","1"
"1115683200000-126654219","2005-05-10T03:56:00Z","1108857600000-412","Autumn","Levy","85 Cinder Bluff Rd","Clearwater","FL","33575","USA","__Cravens__","6146.13","1"
"1129939200000-191856204","2005-10-22T12:45:00Z","1261872000000-543","Anjolie","Parks","Ap #587-2197 Sit Road","Gary","IN","33354","USA","digvjsr","4881.77","1"
"1132790400000-184784990","2005-11-24T09:46:00Z","1120521600000-383","Alec","Melendez","Ap #175-1015 Faucibus Rd.","Cincinnati","OH","58448","USA","BabaMeraba67","5127.53","1"
"1405209600000-211803760","2014-07-13T04:18:00Z","1115510400000-395","Josephine","Holder","Ap #169-4882 Feugiat Rd.","Portland","ME","37285","USA","KenzieCook_","5397.67","1"
"1129680000000-250611221","2005-10-19T04:00:00Z","1322006400000-253","Orson","Klein","Ap #647-9783 Penatibus Rd.","Kenosha","WI","93707","USA","ILoveTmobile22","8399.25","1"
"1332288000000-46574537","2012-03-21T11:57:00Z","1210809600000-359","Taylor","Curry","Ap #844-773 Cursus Road","Fort Wayne","IN","95267","USA","kerGala1905","4320.82","1"
"1383782400000-198975307","2013-11-07T20:27:00Z","1271635200000-143","Joan","Parker","331-4971 Tellus St.","Lansing","MI","35971","USA","ElonSandstrm","4626.03","1"
"1217462400000-3164903","2008-07-31T19:18:00Z","1226448000000-13","Ishmael","Jones","P.O. Box 350 802 Nunc. St.","Allentown","PA","81821","USA","jameshogberg","8131.48","1"
"1360022400000-185117941","2013-02-05T12:10:00Z","1182038400000-255","Demetrius","Berger","Ap #298-451 Magna Av.","Spokane","WA","54629","USA","sdurgunfb","8691.11","1"
"1262649600000-35696496","2010-01-05T01:44:00Z","1322697600000-215","Noel","Burnett","453-2168 Ac Rd.","Laramie","WY","17373","USA","ling0n","3837.72","1"
"1371600000000-245695021","2013-06-19T04:55:00Z","1371427200000-314","Stacey","Keller","898-4333 Ipsum St.","Columbia","MO","36721","USA","CarinLind","8222.21","1"
"1329868800000-119750277","2012-02-22T11:17:00Z","1179619200000-642","Elaine","Barnes","Ap #978-8302 Nec Street","Sioux City","IA","45470","USA","eliinarvidsson","3090.23","1"
"1346716800000-58332768","2012-09-04T06:45:00Z","1203897600000-191","Marsden","Wilder","355-2137 Amet Rd.","Metairie","LA","93901","USA","ToveDahl1","4826.18","1"
"1238803200000-137011906","2009-04-04T20:12:00Z","1201564800000-326","Quinn","Hoover","347-3400 Odio Ave","Lakewood","CO","50517","USA","sagan_om_kingen","7526.86","1"
"1403568000000-144884223","2014-06-24T02:10:00Z","1157068800000-307","Sierra","Gamble","328 Tortor Ave","Rochester","MN","23230","USA","DxLT2","4294.73","1"
"1194134400000-42025405","2007-11-04T06:37:00Z","1180656000000-399","Eve","Stout","P.O. Box 726 6057 Morbi Rd.","Portland","OR","20928","USA","ferhatyesilel","5916.47","1"
"1365811200000-233379092","2013-04-13T03:19:00Z","1125705600000-148","Geraldine","Bennett","890-5589 Pharetra Av.","Chattanooga","TN","31580","USA","hampusmyreen","9551.64","1"
"1204329600000-50740095","2008-03-01T15:37:00Z","1176249600000-646","Nehru","Hendrix","9928 Erat Av.","Kansas City","MO","62602","USA","Randytolvi","6099.72","1"
"1319241600000-21574258","2011-10-22T01:28:00Z","1106524800000-491","Abigail","Barnes","6827 Dolor Avenue","Detroit","MI","51104","USA","Ayseerdogu","5929.26","1"
"1331596800000-8909370","2012-03-13T07:02:00Z","1256774400000-308","Ignacia","Rutledge","P.O. Box 920 9897 Integer St.","Tulsa","OK","73222","USA","_up_and_away_","6283.43","1"
"1246320000000-22800522","2009-06-30T20:51:00Z","1271894400000-89","Quin","Sears","P.O. Box 371 4751 Sapien. Street","Augusta","GA","99884","USA","fusunnnnnn","8577.07","1"
"1323993600000-179958","2011-12-16T06:55:00Z","1179532800000-244","Anjolie","Wiley","Ap #738-4856 Arcu. St.","Fort Wayne","IN","44211","USA","YasinBeyyy","3873.08","1"
"1208390400000-84332720","2008-04-17T02:11:00Z","1304294400000-204","Fitzgerald","Burris","P.O. Box 786 9010 Dui. Rd.","Baltimore","MD","20074","USA","BEDEALz","6996","1"
"1232064000000-155615054","2009-01-16T02:24:00Z","1320105600000-408","Angelica","Oconnor","P.O. Box 689 6999 Quis St.","Toledo","OH","47749","USA","niamcvey","7587.6","1"
"1385510400000-162359226","2013-11-27T16:57:00Z","1143676800000-99","Jana","Stanton","460-2583 Ac Road","Cambridge","MA","11860","USA","Dube12345","4345.68","1"
"1141171200000-73657448","2006-03-01T08:57:00Z","1272240000000-203","Kylynn","Dunlap","5908 Hendrerit St.","Jonesboro","AR","71415","USA","OziYedek","6373.06","1"
"1341619200000-32679280","2012-07-07T21:04:00Z","1176163200000-533","Stephanie","Hebert","P.O. Box 227 8986 Lectus Avenue","Mobile","AL","35869","USA","AKOUN2","5639.9","1"
"1360022400000-205059181","2013-02-05T05:37:00Z","1132963200000-666","Colleen","Peck","2646 Lectus. Road","San Diego","CA","95696","USA","abdallah_td","7519.97","1"
"1217808000000-82514218","2008-08-04T22:56:00Z","1268006400000-215","Ella","Tate","8835 Sed St.","Juneau","AK","99789","USA","AbramDiez_0W","4442.24","1"
"1124409600000-118513941","2005-08-19T06:08:00Z","1160006400000-589","Ina","Molina","514-5183 Fusce St.","Mobile","AL","35878","USA","peluoso","4754.53","1"
"1168387200000-23566841","2007-01-10T05:24:00Z","1127174400000-291","Marvin","Mathis","3004 Duis St.","Knoxville","TN","35013","USA","kpjlz","8356.8","1"
"1379635200000-72409718","2013-09-20T10:14:00Z","1333756800000-457","Timon","Britt","P.O. Box 795 2648 In Ave","Chicago","IL","54319","USA","danielgorgeous","6353.6","1"
"1345507200000-105436717","2012-08-21T07:32:00Z","1296950400000-220","Gillian","Holcomb","Ap #556-1419 Ut Rd.","Meridian","ID","89611","USA","Impulse_Birchy","5548.37","1"
"1260662400000-20312145","2009-12-13T07:25:00Z","1317340800000-248","Hoyt","Christensen","Ap #164-4913 Rutrum St.","Toledo","OH","21812","USA","shiro_zac","6890.73","1"
"1376179200000-89415999","2013-08-11T02:44:00Z","1219104000000-467","Urielle","Mccarty","174 Blue Autumn Dr","Yonkers","NY","10701","USA","MileyNo_Cyrus","5860.1","1"
"1180224000000-200644252","2007-05-27T10:48:00Z","1167004800000-442","Heather","Austin","P.O. Box 393 4164 Ac Street","Aurora","IL","46873","USA","MananiRio","7449.1","1"
"1271635200000-146725903","2010-04-19T13:46:00Z","1385683200000-94","Shafira","Smith","Ap #196-9470 Suspendisse St.","Billings","MT","13123","USA","Team_spencer","4672.86","1"
"1232064000000-95225257","2009-01-16T12:57:00Z","1153785600000-705","Caesar","Palmer","630-2739 Sed Avenue","San Jose","CA","93905","USA","mjungwalker","9053.79","1"
"1338508800000-201102038","2012-06-01T22:12:00Z","1185321600000-326","Leroy","Zamora","674-8065 Rutrum Rd.","Great Falls","MT","69999","USA","hawabyk","8800.33","1"
"1346716800000-170921347","2012-09-04T16:36:00Z","1194220800000-286","Otto","Guerrero","P.O. Box 689 6999 Quis St.","Toledo","OH","47749","USA","niamcvey","8194.92","1"
"1219017600000-40658104","2008-08-18T15:12:00Z","1144108800000-212","Genevieve","Ellis","Ap #138-7038 Orci. Avenue","Sterling Heights","MI","51790","USA","currierdan","7438.48","1"
"1271635200000-91699974","2010-04-19T09:29:00Z","1189382400000-135","Ian","Craft","5199 Lorem Ave","Oklahoma City","OK","78160","USA","pulluca1","3287.95","1"
"1129680000000-167664870","2005-10-19T16:50:00Z","1287014400000-196","Rajah","Dillon","P.O. Box 535 2182 Nonummy Avenue","Fort Worth","TX","93331","USA","dlua3u2","7176.79","1"
"1365811200000-206342568","2013-04-13T05:33:00Z","1337040000000-73","Priscilla","Suarez","Ap #546-3699 Posuere Rd.","New Haven","CT","28355","USA","onderkuyucu","5927.29","1"
"1148947200000-15852870","2006-05-30T15:24:00Z","1143590400000-148","Mona","Mcdonald","P.O. Box 778 812 Cursus Ave","Ketchikan","AK","99754","USA","federelloco","5152.42","1"
"1323993600000-56381547","2011-12-16T07:14:00Z","1241308800000-490","Tasha","Gould","Ap #481-1037 Facilisis Avenue","Stamford","CT","94165","USA","BVottero","6036.78","1"
"1416960000000-101957257","2014-11-26T08:04:00Z","1201046400000-444","Brock","Bryan","P.O. Box 187 9781 Convallis Av.","Bowling Green","KY","19255","USA","Rozay_CASTILLO","7158.27","1"
"1219017600000-460141","2008-08-18T11:20:00Z","1124064000000-478","Quamar","Mooney","Ap #395-3513 Et Road","Southaven","MS","37145","USA","siyahkadarsev","7829.69","1"
"1360022400000-80281684","2013-02-05T23:07:00Z","1293062400000-449","Mia","Dorsey","Ap #681-301 Molestie Rd.","Kansas City","MO","48392","USA","astridcedergren","8299.43","1"
"1226016000000-7645001","2008-11-07T04:16:00Z","1150588800000-535","Camilla","Townsend","237-8737 Lorem Rd.","Athens","GA","56379","USA","Kaernon","6910.39","1"
"1371600000000-89594342","2013-06-19T07:49:00Z","1181088000000-231","Mechelle","Simpson","P.O. Box 607 4652 Ipsum Rd.","Mobile","AL","35645","USA","ANGRYDIVERGENTS","5816.2","1"
"1384128000000-54499804","2013-11-11T15:58:00Z","1135296000000-485","Bree","Shepherd","Ap #170-5410 Eleifend St.","Lowell","MA","17458","USA","MercedesMcdane1","6222.74","1"
"1390521600000-63659074","2014-01-24T15:28:00Z","1147132800000-541","Dara","Snider","P.O. Box 676 8632 Tempor Avenue","Ketchikan","AK","99669","USA","WirelessCellSto","5525.65","1"
"1160265600000-217225541","2006-10-08T05:09:00Z","1165968000000-317","Alika","Acosta","4500 Nulla. Avenue","Wyoming","WY","28585","USA","robinsfinest","6596.56","1"
"1164844800000-362629346","2006-11-30T21:54:00Z","1118361600000-281","Logan","Walton","326-7253 Arcu Street","Las Vegas","NV","43564","USA","sarahost","7470.71","1"
"1435190400000-118130014","2015-06-25T17:04:00Z","1254700800000-28","Raja","Landry","134-7722 Integer St.","Detroit","MI","62542","USA","koifrodit","7012.79","1"
"1391990400000-174902983","2014-02-10T02:59:00Z","1368489600000-334","Vernon","Hood","P.O. Box 190 6721 Vitae Rd.","Fort Worth","TX","10165","USA","lisafriskopp","7302.67","1"
"1264896000000-65129006","2010-01-31T16:37:00Z","1109635200000-180","Stone","Knox","696-4103 Nunc St.","South Portland","ME","88928","USA","javla_skit","5473.17","1"
"1189728000000-225744299","2007-09-14T23:34:00Z","1270684800000-237","Quintessa","Griffin","7169 Diam St.","Salt Lake City","UT","88343","USA","dlld001","9325.38","1"
"1241481600000-9734540","2009-05-05T05:09:00Z","1121385600000-671","Howard","Wheeler","5261 Lacus. Ave","Norfolk","VA","32817","USA","Meecwo__Loorgu","3069.27","1"
"1212537600000-161488853","2008-06-04T17:47:00Z","1236988800000-701","Bruce","Ramsey","P.O. Box 278 6141 Fermentum Av.","Erie","PA","37678","USA","asarcik64","8777.97","1"
"1129939200000-237526754","2005-10-22T04:31:00Z","1147996800000-698","Noelani","Dunn","Ap #683-4664 Nulla Rd.","South Burlington","VT","60894","USA","nenefree","7605.68","1"
"1219017600000-5127760","2008-08-18T21:13:00Z","1105747200000-435","Elliott","Witt","4402 Nec Rd.","Carson City","NV","24101","USA","Korrespondens","7451.53","1"
"1238803200000-122863289","2009-04-04T23:51:00Z","1274054400000-241","Ila","Gonzalez","Ap #841-4275 Eleifend Ave","Olympia","WA","56197","USA","freePremo","3922.86","1"
"1397865600000-137859725","2014-04-19T14:21:00Z","1135209600000-618","Keely","Conway","519-582 In St.","Seattle","WA","32488","USA","iLeoOoOo","4806.44","1"
"1323043200000-107674464","2011-12-05T20:51:00Z","1169337600000-187","Alexa","Fisher","P.O. Box 331 7121 Molestie Rd.","Nampa","ID","35797","USA","saasnewphone","9150.7","1"
"1234569600000-136921473","2009-02-14T03:14:00Z","1123977600000-155","Maris","Garner","9583 Fusce St.","Duluth","MN","30357","USA","ge253897","7568.14","1"
"1371600000000-102741467","2013-06-19T15:21:00Z","1283558400000-233","Lars","Cleveland","114 Dusty Anchor Cres","Memphis","TN","38101","USA","JarrodFromOhio","8180.04","1"
"1294444800000-244793273","2011-01-08T18:28:00Z","1264636800000-195","Xaviera","Morrow","6982 Ullamcorper Road","Phoenix","AZ","85617","USA","alesanchez1975","6754","1"
"1189728000000-236816070","2007-09-14T13:37:00Z","1277337600000-365","Adena","Hammond","297-3828 Ac Street","Indianapolis","IN","83101","USA","RhiRod","3178.16","1"
"1174089600000-172254391","2007-03-17T09:21:00Z","1137196800000-69","Adena","Carter","P.O. Box 716 6673 Sodales Road","Juneau","AK","99866","USA","Anton__EG","5495.09","1"
"1168387200000-197624722","2007-01-10T01:08:00Z","1113004800000-302","Gabriel","Pacheco","P.O. Box 661 4934 A Ave","Cincinnati","OH","47272","USA","stussov","10907.53","1"
"1150416000000-156620016","2006-06-16T23:48:00Z","1329782400000-241","Aladdin","Goodman","Ap #741-6569 Eu Av.","Grand Island","NE","93925","USA","BeccaCarlsson","8012.63","1"
"1226016000000-25058524","2008-11-07T19:57:00Z","1176163200000-32","Ursula","Yang","Ap #808-9509 Egestas. St.","Olympia","WA","49995","USA","kukyrengo","6135.62","1"
"1189728000000-219187531","2007-09-14T07:16:00Z","1109116800000-249","Jessica","Harding","P.O. Box 758 8132 Nonummy Avenue","Kapolei","HI","52504","USA","Cuipxe__Foojse","6296.88","1"
"1319241600000-167518859","2011-10-22T16:40:00Z","1131753600000-16","Maia","Holland","Ap #711-2518 Proin Rd.","Norman","OK","28261","USA","1longhare","7035.58","1"
"1132790400000-21865757","2005-11-24T19:55:00Z","1166227200000-676","Carly","Tate","P.O. Box 550 2006 Donec Av.","Huntsville","AL","35293","USA","ServantOfEvil","6815.02","1"
"1276041600000-102511474","2010-06-09T10:44:00Z","1145923200000-120","Keith","Leon","4599 Semper Street","Des Moines","IA","70279","USA","LILIANCUMATRENC","2889.24","1"
"1372032000000-242573520","2013-06-24T01:54:00Z","1292284800000-175","Otto","Singleton","968-2621 Sed Rd.","Detroit","MI","89858","USA","haidar_shady","5851.76","1"
"1107820800000-94245045","2005-02-08T18:34:00Z","1192406400000-21","Nell","Calderon","706 Phasellus Rd.","Butte","MT","29666","USA","yungrods","5579.27","1"
"1292889600000-66403834","2010-12-21T05:07:00Z","1138060800000-177","Zahir","Powell","3508 Augue St.","Lincoln","NE","28232","USA","posthumorous","7591.37","1"
"1186790400000-156998922","2007-08-11T03:12:00Z","1203638400000-418","Ian","Terry","878-1956 Risus. St.","Eugene","OR","74838","USA","savabundle","5262.22","1"
"1262649600000-168335443","2010-01-05T03:01:00Z","1121731200000-548","Marny","Harding","P.O. Box 365 1821 Purus. Ave","Frankfort","KY","48047","USA","Maritsa94690414","9652.23","1"
"1226016000000-181242319","2008-11-07T17:34:00Z","1239926400000-370","Clare","Ewing","Ap #543-7410 Accumsan Rd.","Bangor","ME","92845","USA","waldeelbailarin","8041.47","1"
"1142121600000-138661532","2006-03-12T23:00:00Z","1122854400000-277","Rinah","Shields","281-8035 At Road","Broken Arrow","OK","15575","USA","erdal2071","4490.36","1"
"1142121600000-132926990","2006-03-12T18:42:00Z","1134950400000-194","Carissa","Melton","138-5840 Vestibulum Rd.","Clarksville","TN","14645","USA","shumshelest","5310.72","1"
"1366848000000-140910406","2013-04-25T06:48:00Z","1190678400000-708","Carla","Moreno","329-903 Sit Rd.","Grand Rapids","MI","24172","USA","koismi","5740.88","1"
"1408406400000-228061898","2014-08-19T19:09:00Z","1122508800000-564","Wyatt","Buchanan","6022 Maecenas Ave","Orlando","FL","26397","USA","knsloromhonom","7168.08","1"
"1366848000000-116839219","2013-04-25T04:45:00Z","1240012800000-470","Lee","Simpson","Ap #806-1544 Arcu St.","North Las Vegas","NV","83187","USA","furness_simon","5476.09","1"
"1178323200000-25975157","2007-05-05T18:55:00Z","1129334400000-252","Claire","Wells","Ap #899-6796 Adipiscing Rd.","Toledo","OH","24578","USA","caglakalecii","7119.36","1"
"1276041600000-43254326","2010-06-09T22:15:00Z","1137888000000-5","Daniel","Kelly","Ap #474-5299 Ornare Road","Great Falls","MT","25956","USA","erb71789","8783.77","1"
"1184889600000-28740831","2007-07-20T17:05:00Z","1199404800000-688","Mariko","Travis","69 Broad Anchor Sq","Passaic","NJ","7055","USA","Robbie_Prestin","7739.41","1"
"1341619200000-210475249","2012-07-07T16:18:00Z","1269734400000-173","Josiah","Ferguson","Ap #474-5299 Ornare Road","Great Falls","MT","25956","USA","erb71789","9051.62","1"
"1180224000000-214417199","2007-05-27T15:18:00Z","1211068800000-652","Colby","Washington","69 Broad Anchor Sq","Passaic","NJ","7055","USA","Robbie_Prestin","6718.12","1"
"1147996800000-199625900","2006-05-19T06:16:00Z","1187568000000-466","Demetria","Mullins","942 Orci Av.","Portland","OR","68647","USA","Angela8202Angie","7093.8","1"
"1129680000000-219948862","2005-10-19T03:23:00Z","1176508800000-270","Natalie","Holloway","Ap #467-1955 Massa. Street","Fairbanks","AK","99663","USA","PabloDa53333371","8097.93","1"
"1142121600000-101620947","2006-03-12T09:51:00Z","1209859200000-175","Caleb","Aguirre","P.O. Box 656 6702 Suspendisse Av.","New Haven","CT","12517","USA","KumlaBunkern","5245.14","1"
"1329868800000-44999167","2012-02-22T19:50:00Z","1162512000000-273","Kiara","Ford","Ap #585-7716 Vulputate Rd.","Tulsa","OK","76798","USA","jahcquelhyn","6389.7","1"
"1142121600000-62149692","2006-03-12T15:58:00Z","1336953600000-341","Rogan","Navarro","P.O. Box 252 1759 Tortor. Avenue","West Valley City","UT","36753","USA","gitmemujgan","3525.44","1"
"1264896000000-211071490","2010-01-31T08:04:00Z","1196467200000-476","Ciara","Valentine","P.O. Box 908 2071 Elit. Rd.","Saint Paul","MN","73409","USA","barinkayaoglu","9416.55","1"
"1323993600000-48904444","2011-12-16T01:12:00Z","1137283200000-499","Emerald","Cooke","969-2879 Orci St.","Broken Arrow","OK","36978","USA","UlusoyBetuel","9797.17","1"
"1388793600000-96414557","2014-01-04T13:06:00Z","1304899200000-193","May","French","3520 Nulla Ave","Casper","WY","99769","USA","bakuufa0735","4776.45","1"
"1112227200000-3561470","2005-03-31T15:57:00Z","1283299200000-355","Kimberley","Vance","960-369 Mauris. Ave","Los Angeles","CA","93267","USA","lukasbackman","6585.4","1"
"1178323200000-130403059","2007-05-05T21:49:00Z","1301097600000-80","Yvette","Hicks","Ap #348-164 Quisque Ave","Iowa City","IA","10694","USA","raychael2323","6772.1","1"
"1406073600000-92421767","2014-07-23T21:40:00Z","1138492800000-201","Shafira","Oliver","947-7730 Semper Rd.","Eugene","OR","75891","USA","mercannn_","4829.06","1"
"1150416000000-76293743","2006-06-16T17:52:00Z","1120694400000-162","Idola","Christensen","7464 Metus. St.","Broken Arrow","OK","65453","USA","indigosshaman","5715.27","1"
"1383782400000-223191178","2013-11-07T04:45:00Z","1222819200000-385","Bruce","Saunders","P.O. Box 998 7592 Risus Rd.","Salt Lake City","UT","30170","USA","NilssonMandy","5620.83","1"
"1115683200000-163400047","2005-05-10T06:52:00Z","1196294400000-531","Deborah","Washington","Ap #532-4784 Diam St.","Dover","DE","22946","USA","almostfifteen","6620.83","1"
"1427155200000-83224463","2015-03-24T22:36:00Z","1187049600000-241","Julie","Contreras","668-6373 Neque Rd.","Bear","DE","16064","USA","montesjacob1","8898.1","1"
"1390521600000-102089864","2014-01-24T06:44:00Z","1175472000000-329","Vincent","Hall","3415 Ullamcorper. Avenue","Bloomington","MN","94004","USA","wahlundfelicia","3816.13","1"
"1112227200000-24476969","2005-03-31T14:37:00Z","1269475200000-181","Russell","Norton","182 Blue Bear Sq","Clearwater","FL","33575","USA","tinalr","3432.62","1"
"1204329600000-169353940","2008-03-01T07:59:00Z","1366156800000-259","Ruth","Kirkland","7258 Magna St.","Covington","KY","94944","USA","manillarainero","3212.09","1"
"1219017600000-192909190","2008-08-18T17:04:00Z","1253318400000-196","Plato","Blair","Ap #546-3716 Mi. Av.","Frederick","MD","35667","USA","Sanbeist","8795.28","1"
"1157414400000-155914195","2006-09-05T09:22:00Z","1211155200000-150","Mariko","Shelton","5352 Purus. Rd.","Minneapolis","MN","33803","USA","IndyLinda1414","9018.74","1"
"1385510400000-223911486","2013-11-27T21:27:00Z","1320192000000-211","Whittaker","Mongloy","84 Blue Autumn Esp","Memphis","TN","38101","USA","mrstreneverson","4610.97","1"
"1301443200000-57725406","2011-03-30T08:56:00Z","1241740800000-412","Sheila","Hardin","Ap #656-3839 Fringilla St.","Rock Springs","WY","64069","USA","VoliaMoon","7534.02","1"
"1107820800000-213210757","2005-02-08T15:46:00Z","1276646400000-344","Denton","Cortez","3518 Vulputate St.","Grand Island","NE","27290","USA","bigjake1970","5469.17","1"
"1203033600000-237485627","2008-02-15T21:12:00Z","1148688000000-94","Tatyana","Lott","2744 Lectus. Av.","Mesa","AZ","86877","USA","lalezar1071","6693.57","1"
"1234569600000-194482840","2009-02-14T02:02:00Z","1318204800000-509","Carla","Robinson","4878 Rhoncus Av.","Owensboro","KY","29364","USA","Voekna__Nuunco","6416.07","1"
"1270598400000-73649713","2010-04-07T21:58:00Z","1355356800000-90","Honorato","Wheeler","271-5279 Et Rd.","Lafayette","LA","63353","USA","yuzuyaki","5361","1"
"1217808000000-34765280","2008-08-04T05:59:00Z","1158624000000-446","Guy","Benjamin","516-6369 Morbi Rd.","Gillette","WY","30376","USA","redsbht","6136.79","1"
